word,count
shirt,1352
jam,1348
second,1342
interested,1342
running,1340
els,1340
high,1339
llama,1339
swimming,1338
past,1336
Dominic,1332
able,1330
Adam,1330
hele,1329
telephone,1325
visto,1316
arm,1314
garage,1310
c,1308
bu,1305
Nina,1301
tower,1300
lid,1295
animal,1295
knock,1289
brought,1286
bigger,1285
dry,1283
road,1283
store,1283
watching,1281
busy,1281
wi,1278
full,1277
tau,1277
press,1273
half,1268
yok,1266
its,1265
driver,1265
lorry,1259
kell,1257
Juan,1256
dice,1255
fe,1253
fine,1252
motto,1251
sweetie,1249
taste,1245
twenty,1244
perhaps,1243
word,1243
far,1235
pie,1221
such,1220
moment,1219
fallen,1217
circle,1217
hin,1215
tar,1206
moon,1190
also,1187
soup,1185
sai,1182
woof,1179
bat,1178
sen,1177
cry,1171
every,1171
wearing,1171
eye,1164
ser,1161
along,1160
orang,1158
year,1157
guy,1155
sag,1155
building,1153
Henry,1152
nam,1145
boo,1143
soft,1143
balloon,1140
dinosaur,1138
giving,1136
sand,1135
Maarten,1135
Abe,1133
grass,1130
everybody,1128
kola,1125
chips,1124
driving,1121
doctor,1121
walking,1120
dark,1119
ahead,1118
smell,1115
dag,1112
panda,1110
may,1107
snow,1103
special,1095
doggy,1091
anyway,1090
once,1089
nope,1088
missing,1087
trousers,1085
present,1084
cool,1082
ear,1082
apart,1082
pussy,1079
ako,1077
holding,1072
post,1071
whee,1070
pass,1069
washing,1064
wake,1061
imam,1058
fly,1056
wind,1054
baa,1051
Po,1051
aller,1048
hau,1048
io,1046
baru,1045
hide,1043
don,1043
cross,1042
drawing,1042
wall,1038
gosh,1038
fruit,1035
nearly,1033
Dada,1031
sister,1026
mesa,1023
card,1018
lift,1017
working,1016
tut,1016
Tommy,1016
quickly,1015
knee,1015
quiet,1014
tin,1013
giraffe,1011
wid,1011
telling,1008
aye,1008
sabe,1006
tha,1005
tee,1002
pet,1002
bedroom,1001
clown,999
cum,999
diaper,999
ale,998
tiny,997
pon,995
music,992
arms,990
flower,989
petite,989
piggy,988
station,983
broke,979
aw,979
asleep,977
falling,977
dim,977
heavy,976
sky,974
Nana,973
Teddy,972
dressed,971
agua,967
lie,967
shape,963
singing,962
male,962
hope,961
anta,961
reading,960
wen,958
poorly,957
hei,956
paint,956
Ruth,956
empty,955
gib,953
mother,950
track,949
airplane,947
happen,947
straight,946
tonight,946
nursery,946
sat,945
sugar,941
standing,939
k,939
aka,937
cute,937
wheel,935
Miki,933
Andreas,929
cause,928
zebra,928
care,925
instead,924
bis,922
par,919
goodness,914
couple,913
bara,913
Laura,909
tunnel,905
masa,904
tri,903
rain,902
mein,900
daroo,900
ge,897
crocodile,893
nous,893
swing,893
dod,892
puppy,891
poco,891
ani,887
hah,887
gell,885
Mam,882
blanket,881
crash,880
san,879
g,878
mina,877
ora,876
sea,875
bike,871
bathroom,870
near,868
