word,count
growing,32
merry,32
Antonio,32
hockey,32
hurrah,32
raisin,32
lantern,32
Asa,32
merrily,32
Marvin,32
Michael,32
pat,31
mete,31
Australia,31
meat,31
belle,31
hippo,31
trunk,31
hundred,31
Japanese,31
lock,31
marble,31
massa,31
messy,31
dinero,31
screen,31
chance,31
Donald,31
burro,31
motor,31
smelly,31
atta,31
Cat,31
spill,31
mix,31
Jessica,31
Esther,30
bump,30
Alberto,30
taught,30
visit,30
wer,30
loro,30
abord,30
thirty,30
nineteen,30
toothbrush,30
aye,30
nope,30
yuck,30
pinto,30
castellano,30
laugh,30
Cantonese,30
itself,30
ko,30
onion,30
whatever,30
seal,30
vier,30
built,30
passe,30
slipper,30
aru,30
wand,30
spin,30
Sebastian,30
Mari,30
fetch,29
summer,29
cloudy,29
shelf,29
woman,29
alma,29
Teresa,29
pintado,29
dehors,29
manque,29
alt,29
pip,29
Jesus,29
finally,29
drawer,29
darling,29
Stephanie,29
cone,29
seventeen,29
spit,29
screaming,29
flores,29
gentle,29
port,29
din,29
hope,29
um,29
handsome,29
cried,29
Jack,29
Chloe,29
slowly,29
backwards,29
between,29
smart,29
weapon,29
madame,29
eta,29
lucky,29
troll,29
pussy,29
motorcycle,29
pega,28
street,28
rather,28
rock,28
Mrs,28
suitcase,28
gas,28
store,28
finding,28
gorilla,28
chasing,28
stem,28
squirt,28
poisonous,28
definitely,28
bu,28
dessert,28
rattle,28
bonk,28
samen,28
biggest,28
Maggie,28
gently,28
begin,28
soc,28
mud,28
lire,28
fiesta,28
vegetable,28
dada,28
hose,28
anywhere,28
pin,28
coconut,28
sunny,28
motte,28
pumpkin,28
dirt,27
suddenly,27
vacuum,27
beat,27
correct,27
medio,27
haya,27
ferme,27
vache,27
leuk,27
stopped,27
balance,27
swan,27
older,27
mir,27
seeing,27
war,27
wit,27
past,27
pit,27
poison,27
jacket,27
aside,27
tent,27
Barrio,27
superman,27
life,27
paar,27
church,27
Laura,27
pronto,27
estado,27
size,27
wombat,27
scream,27
lived,27
flat,27
Halloween,27
ashes,27
alphabet,27
city,27
Snow,27
cowboy,27
sweep,27
scratch,27
noir,27
tights,26
kicking,26
feeling,26
birdie,26
pesa,26
sam,26
male,26
showing,26
turns,26
fourteen,26
treat,26
cousin,26
sign,26
canoe,26
stole,26
fin,26
stone,26
hoop,26
st,26
pane,26
Nana,26
auntie,26
ging,26
tight,26
plan,26
prepare,26
welk,26
rocket,26
chanter,26
hour,26
movie,26
K,26
chin,26
bara,26
mermaid,26
flamingo,26
burrito,26
Y,26
newspaper,25
perhaps,25
ours,25
stomach,25
wi,25
stanno,25
speaker,25
free,25
following,25
herself,25
traffic,25
blanc,25
saber,25
perfect,25
fu,25
stays,25
besides,25
duckling,25
mat,25
against,25
floating,25
excellent,25
grave,25
pipe,25
thee,25
vast,25
cop,25
vert,25
koala,25
basketball,25
grey,25
stove,25
R,25
bar,25
cheek,25
don,25
horn,25
grab,25
cupcake,25
trick,25
bunch,25
dah,25
ladybug,25
naa,25
calm,25
Old,25
Suzy,25
beast,25
soda,25
squeak,25
dong,25
keeper,25
picara,25
promise,24
except,24
stethoscope,24
loin,24
pantalon,24
boot,24
large,24
homework,24
gent,24
Sophia,24
crib,24
trade,24
alive,24
burp,24
picked,24
rip,24
skin,24
clear,24
pagina,24
selva,24
peekaboo,24
rita,24
cereal,24
tow,24
rake,24
sac,24
popcorn,24
bend,24
soil,24
bilingual,24
Jonah,24
during,23
across,23
robot,23
shaking,23
kindergarten,23
cracker,23
suave,23
desk,23
Bon,23
guitar,23
sixteen,23
given,23
tonight,23
piglet,23
corona,23
cherry,23
trouble,23
bless,23
gold,23
trip,23
annoying,23
hanging,23
drove,23
hamburger,23
ladder,23
frightened,23
anybody,23
neighbor,23
ladybird,23
wing,23
mig,23
laten,23
dorm,23
benn,23
piles,23
drum,23
jar,23
feu,23
melt,23
monsieur,23
Sheila,23
Isabelle,23
trona,23
costa,23
basta,23
lei,23
rubber,23
silver,23
Henry,23
mark,23
tuna,23
lambie,23
itchy,23
age,23
stomp,23
sal,22
