"num_item_id","definition","type","category","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
62,"buss","word","vehicles",0.17,0.22,0.3,0.46,0.57,0.62,0.72,0.79,0.81,0.9,0.92,0.92,0.94,0.96,0.96,0.96,0.97,0.98,0.98,0.99,0.98
63,"fly","word","vehicles",0.19,0.26,0.34,0.49,0.61,0.66,0.75,0.83,0.87,0.9,0.92,0.94,0.95,0.96,0.98,0.98,0.99,0.99,0.98,0.98,0.98
64,"helikopter","word","vehicles",0.01,0.04,0.06,0.14,0.19,0.22,0.36,0.45,0.51,0.61,0.66,0.73,0.8,0.78,0.84,0.87,0.9,0.91,0.91,0.9,0.92
65,"lastebil","word","vehicles",0.02,0.04,0.08,0.22,0.23,0.31,0.43,0.56,0.62,0.72,0.77,0.81,0.86,0.86,0.91,0.93,0.93,0.94,0.96,0.96,0.94
66,"motorsykkel","word","vehicles",0.02,0.02,0.05,0.11,0.13,0.2,0.3,0.39,0.48,0.59,0.64,0.71,0.76,0.77,0.81,0.84,0.89,0.88,0.92,0.92,0.92
67,"sykkel","word","vehicles",0.06,0.11,0.16,0.31,0.4,0.45,0.58,0.67,0.75,0.8,0.86,0.89,0.91,0.93,0.93,0.96,0.96,0.97,0.97,0.99,0.96
68,"tog","word","vehicles",0.11,0.18,0.26,0.41,0.51,0.56,0.67,0.74,0.79,0.85,0.89,0.9,0.93,0.94,0.96,0.96,0.97,0.98,0.98,0.98,0.97
69,"traktor","word","vehicles",0.16,0.23,0.32,0.44,0.5,0.59,0.64,0.72,0.76,0.83,0.87,0.92,0.92,0.92,0.95,0.96,0.97,0.98,0.98,0.97,0.96
70,"trehjulssykkel","word","vehicles",0.02,0,0.01,0.01,0.02,0.03,0.08,0.08,0.16,0.22,0.29,0.33,0.38,0.38,0.45,0.5,0.56,0.58,0.61,0.64,0.65
71,"ball","word","toys",0.56,0.67,0.77,0.81,0.88,0.9,0.92,0.95,0.95,0.97,0.97,0.97,0.97,0.98,0.99,0.98,0.99,0.99,0.99,0.99,0.98
72,"ballong","word","toys",0.13,0.25,0.26,0.4,0.51,0.53,0.6,0.7,0.77,0.83,0.86,0.89,0.91,0.91,0.94,0.94,0.96,0.96,0.95,0.97,0.96
73,"blyant","word","toys",0.01,0.02,0.03,0.07,0.14,0.17,0.23,0.26,0.32,0.42,0.5,0.54,0.55,0.58,0.66,0.68,0.76,0.78,0.77,0.8,0.82
74,"bok","word","toys",0.33,0.41,0.52,0.61,0.73,0.76,0.8,0.86,0.91,0.93,0.94,0.96,0.96,0.97,0.98,0.97,0.98,0.98,0.98,0.99,0.96
75,"klosser","word","toys",0.04,0.09,0.09,0.16,0.28,0.31,0.38,0.49,0.54,0.61,0.68,0.74,0.76,0.79,0.82,0.84,0.85,0.88,0.9,0.91,0.91
76,"dukke","word","toys",0.14,0.29,0.36,0.41,0.51,0.57,0.61,0.64,0.68,0.75,0.81,0.83,0.84,0.84,0.88,0.89,0.91,0.91,0.92,0.94,0.92
77,"lego","word","toys",0.01,0.06,0.06,0.13,0.19,0.25,0.29,0.42,0.45,0.56,0.63,0.68,0.71,0.77,0.79,0.82,0.84,0.85,0.87,0.9,0.9
78,"eventyr","word","toys",0,0,0.01,0.03,0.04,0.04,0.08,0.14,0.2,0.28,0.32,0.36,0.46,0.5,0.6,0.6,0.65,0.64,0.74,0.76,0.79
79,"fargeblyant","word","toys",0.01,0.01,0.01,0.05,0.06,0.08,0.14,0.15,0.19,0.26,0.35,0.37,0.4,0.41,0.48,0.53,0.58,0.59,0.64,0.65,0.71
80,"presang","word","toys",0,0.03,0.06,0.11,0.14,0.2,0.25,0.37,0.49,0.54,0.57,0.62,0.64,0.65,0.68,0.72,0.74,0.78,0.8,0.8,0.82
81,"kritt","word","toys",0,0,0.02,0.02,0.03,0.03,0.05,0.08,0.1,0.14,0.21,0.21,0.26,0.29,0.35,0.38,0.42,0.38,0.46,0.49,0.47
82,"leke (object)","word","toys",0.08,0.15,0.23,0.31,0.4,0.46,0.57,0.7,0.75,0.81,0.86,0.88,0.89,0.92,0.94,0.94,0.96,0.96,0.97,0.98,0.96
83,"lim","word","toys",0,0,0.01,0.03,0.06,0.07,0.14,0.16,0.19,0.3,0.4,0.42,0.51,0.51,0.58,0.67,0.7,0.72,0.8,0.82,0.82
84,"penn","word","toys",0.02,0.04,0.06,0.1,0.19,0.17,0.29,0.33,0.35,0.41,0.49,0.53,0.57,0.59,0.66,0.7,0.68,0.74,0.78,0.76,0.8
85,"plastilina","word","toys",0,0.01,0.01,0.02,0.03,0.04,0.07,0.08,0.13,0.18,0.23,0.28,0.3,0.34,0.36,0.37,0.44,0.42,0.48,0.52,0.47
